game_name,publisher,developer,platform_id,rating,year,genre,game_id
Call of Duty: World at War,Activision,Treyarch,6,M,2008.0,Shooter,171
Uncharted 4: A Thief's End,Sony Computer Entertainment,Naughty Dog,10,T,2016.0,Shooter,172
Dr. Mario,Nintendo,,3,,1989.0,Puzzle,173
Final Fantasy XIII,Square Enix,Square Enix,6,T,2009.0,Role-Playing,174
Pokemon Pinball,Nintendo,,3,,1999.0,Misc,175
Final Fantasy IX,SquareSoft,SquareSoft,13,T,2000.0,Role-Playing,176
Assassin's Creed III,Ubisoft,Ubisoft,5,M,2012.0,Action,177
Final Fantasy X-2,Electronic Arts,SquareSoft,7,T,2003.0,Role-Playing,178
Donkey Kong 64,Nintendo,,12,,1999.0,Platform,179
Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,18,M,2014.0,Shooter,180
Minecraft,Sony Computer Entertainment,,6,,2014.0,Misc,181
Assassin's Creed II,Ubisoft,Ubisoft Montreal,5,M,2009.0,Action,182
Tomb Raider II,Eidos Interactive,Core Design Ltd.,13,T,1997.0,Action,183
Madden NFL 2004,Electronic Arts,EA Tiburon,7,E,,Sports,184
Tomodachi Life,Nintendo,,11,,2013.0,Simulation,185
New Super Mario Bros. U,Nintendo,Nintendo,19,E,2012.0,Platform,186
Dragon Quest VIII: Journey of the Cursed King,Square Enix,Level 5,7,T,2004.0,Role-Playing,187
Super Mario Bros. 3,Nintendo,,9,,2003.0,Platform,188
Professor Layton and the Curious Village,Nintendo,Level 5,4,E,2007.0,Puzzle,189
Super Mario Land 3: Wario Land,Nintendo,,3,,1994.0,Platform,190
FIFA Soccer 13,Electronic Arts,Electronic Arts,5,E,2012.0,Action,191
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,,8,,1995.0,Platform,192
Diablo III,Activision,Blizzard Entertainment,15,M,2012.0,Role-Playing,193
Medal of Honor: Rising Sun,Electronic Arts,EA LA,7,T,2003.0,Shooter,194
Kirby's Dream Land,Nintendo,,3,,1992.0,Platform,195
Microsoft Flight Simulator,Microsoft Game Studios,,15,,1996.0,Simulation,196
Guitar Hero II,RedOctane,Harmonix Music Systems,7,T,2006.0,Misc,197
Fable III,Microsoft Game Studios,Lionhead Studios,5,M,2010.0,Role-Playing,198
Mario & Sonic at the Olympic Games,Sega,,4,,2008.0,Sports,199
Resident Evil 5,Capcom,Capcom,6,M,2009.0,Action,200
The Legend of Zelda: Phantom Hourglass,Nintendo,Nintendo,4,E,2007.0,Action,201
Super Mario Bros.,Nintendo,,3,,1999.0,Platform,202
FIFA Soccer 11,Electronic Arts,EA Sports,6,E,2010.0,Sports,203
Resident Evil,Virgin Interactive,Capcom,13,M,1996.0,Action,204
Grand Theft Auto: Vice City Stories,Take-Two Interactive,Rockstar Leeds,17,M,2006.0,Action,205
Tony Hawk's Pro Skater,Activision,Neversoft Entertainment,13,T,1999.0,Sports,206
Warzone 2100,Eidos Interactive,,13,,1999.0,Strategy,207
Spyro the Dragon,Sony Computer Entertainment,,13,,1998.0,Platform,208
Guitar Hero III: Legends of Rock,Activision,"Neversoft Entertainment, BudCat",7,T,2007.0,Misc,209
Link's Crossbow Training,Nintendo,Nintendo,1,T,2007.0,Shooter,210
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo,,4,,2007.0,Role-Playing,211
Fallout 3,Bethesda Softworks,Bethesda Game Studios,5,M,2008.0,Role-Playing,212
Uncharted: Drake's Fortune,Sony Computer Entertainment,"Naughty Dog, SCE/WWS",6,T,2007.0,Action,213
Madden NFL 06,Electronic Arts,EA Sports,7,E,2005.0,Sports,214
Diddy Kong Racing,Nintendo,,12,,1997.0,Racing,215
Monster Hunter Freedom 3,Capcom,,17,,2010.0,Role-Playing,216
Super Smash Bros. for Wii U and 3DS,Nintendo,,19,,2014.0,Fighting,217
Dr. Mario,Nintendo,,2,,1990.0,Puzzle,218
StarCraft II: Wings of Liberty,Activision,Blizzard Entertainment,15,T,2010.0,Strategy,219
Assassin's Creed,Ubisoft,Ubisoft Montreal,6,M,2007.0,Adventure,220
God of War III,Sony Computer Entertainment,SCE Santa Monica,6,M,2010.0,Action,221
Crash Team Racing,Sony Computer Entertainment,Naughty Dog,13,E,1999.0,Racing,222
LEGO Star Wars: The Complete Saga,LucasArts,TT Fusion,4,E,2007.0,Action,223
Driver 2,Atari,Reflections Interactive,13,T,2000.0,Action,224
Batman: Arkham City,Warner Bros. Interactive Entertainment,Rocksteady Studios,5,T,2011.0,Action,225
The Last of Us,Sony Computer Entertainment,,10,,2014.0,Action,226
The Simpsons: Hit & Run,Vivendi Games,,7,,2003.0,Racing,227
Tony Hawk's Pro Skater 2,Activision,Neversoft Entertainment,13,T,2000.0,Sports,228
The Lord of the Rings: The Two Towers,Electronic Arts,Stormfront Studios,7,T,2002.0,Action,229
Tomb Raider,Eidos Interactive,Core Design Ltd.,13,T,1996.0,Action,230
Animal Crossing: City Folk,Nintendo,Nintendo,1,E,2008.0,Simulation,231
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Bluepoint Games,10,T,2015.0,Action,232
The Legend of Zelda: A Link to the Past,Nintendo,,8,,1991.0,Action,233
The Legend of Zelda: The Wind Waker,Nintendo,Nintendo,20,E,2002.0,Action,234
Guitar Hero III: Legends of Rock,Activision,Vicarious Visions,1,T,2007.0,Misc,235
Luigi's Mansion: Dark Moon,Nintendo,Next Level Games,11,E,2013.0,Action,236
Forza Motorsport 4,Microsoft Game Studios,Turn 10,5,E,2011.0,Racing,237
Mario & Sonic at the Olympic Winter Games,Sega,,1,,2009.0,Sports,238
Madden NFL 2005,Electronic Arts,EA Tiburon,7,E,2004.0,Sports,239
Guitar Hero III: Legends of Rock,Activision,Neversoft Entertainment,5,T,2007.0,Misc,240
